no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
C3RJH,BLACK,DUCATI,2004,MOTORCYCLE,2024-01-02,Waikato,3,January,20
4.30E+40,SILVER,HOMEBUILT,2019,TRAILER,2024-01-02,Waikato,3,January,5
PYB523,BLACK,FORD,2002,CAR,2024-01-02,Waikato,3,January,22
ASU820,BLUE,LAND ROVER,2002,CAR,2024-01-02,Waikato,3,January,22
NPC385,BROWN,TOYOTA,2005,UTILITY TRUCK,2024-01-03,Waikato,3,January,19
JCG682,SILVER,TOYOTA,2015,CAR,2024-01-03,Waikato,3,January,9
98WJJ,SILVER,SUZUKI,2004,MOTORCYCLE,2024-01-03,Waikato,3,January,20
HMK938,RED,HONDA,2005,CAR,2024-01-04,Waikato,3,January,19
GWM641,WHITE,MITSUBISHI,2004,CAR,2024-01-05,Waikato,3,January,20
A4TSN,WHITE,PIAGGIO,2014,MOTORCYCLE,2024-01-05,Waikato,3,January,10
MFB928,BLUE,SUBARU,2011,CAR,2024-01-05,Waikato,3,January,13
YX7686,RED,TOYOTA,1995,CAR,2024-01-05,Waikato,3,January,29
MDS306,BROWN,HOLDEN,2000,CAR,2024-01-06,Waikato,3,January,24
MHL217,RED,MAZDA,2012,CAR,2024-01-07,Waikato,3,January,12
BGQ703,WHITE,TOYOTA,2003,UTILITY TRUCK,2024-01-07,Waikato,3,January,21
PGZ465,SILVER,TOYOTA,2016,CAR,2024-01-07,Waikato,3,January,8
44G77,GREY,HOMEBUILT,2019,TRAILER,2024-01-08,Waikato,3,January,5
CNS438,WHITE,FORD,2005,UTILITY TRUCK,2024-01-08,Waikato,3,January,19
13B21,SILVER,HOMEBUILT,2018,TRAILER,2024-01-08,Waikato,3,January,6
KFE843,RED,ISUZU,2013,UTILITY TRUCK,2024-01-08,Waikato,3,January,11
134U5,GREY,HOMEBUILT,1995,TRAILER,2024-01-08,Waikato,3,January,29
C4RJM,BLACK,ADLY,2016,MOTORCYCLE,2024-01-08,Waikato,3,January,8
PGZ465,SILVER,TOYOTA,2016,CAR,2024-01-09,Waikato,3,January,8
224C1,GREY,HOMEBUILT,2021,TRAILER,2024-01-09,Waikato,3,January,3
7638P,GREY,HOMEBUILT,2000,TRAILER,2024-01-11,Waikato,3,January,24
BSJ263,RED,FORD,2003,UTILITY TRUCK,2024-01-12,Waikato,3,January,21
G983A,SILVER,KEA,2005,TRAILER,2024-01-12,Waikato,3,January,19
C8EUF,RED,ZNEN,2021,MOTORCYCLE,2024-01-12,Waikato,3,January,3
DAK619,SILVER,FORD,2005,CAR,2024-01-12,Waikato,3,January,19
TX876,BLACK,NISSAN,1991,CAR,2024-01-12,Waikato,3,January,33
665R9,SILVER,HOMEBUILT,2022,TRAILER,2024-01-12,Waikato,3,January,2
SQIUD,GREY,KAWASAKI,2023,MOTORCYCLE,2024-01-13,Waikato,3,January,1
22E48,SILVER,HOMEBUILT,2018,TRAILER,2024-01-13,Waikato,3,January,6
2.20E+49,SILVER,HOMEBUILT,2018,TRAILER,2024-01-13,Waikato,3,January,6
DAD923,WHITE,FORD,2005,UTILITY TRUCK,2024-01-13,Waikato,3,January,19
